assessment_date,basements,building_code,category_code,census_tract,central_air,date_exterior_condition,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,fuel,garage_spaces,garage_type,general_construction,homestead_exemption,house_extension,interior_condition,market_value,market_value_date,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,off_street_open,parcel_shape,quality_grade,recording_date,sale_date,sale_price,separate_utilities,sewer,site_type,taxable_building,taxable_land,topography,total_area,total_livable_area,type_heater,unfinished,utility,view_type,year_built,year_built_estimate,zip_code,zoning,building_code_new,lat,lng
2022-05-24,,SI   ,6,809.0,,,626.0,0.0,480400.0,,,197.0,,,,,0,,,480400.0,,,,,,,A,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,116647.0,,,,,I,,,19153.0,,,39.91829990759683,-75.21885081944608
2022-05-24,,SC   ,6,67.0,,,226.0,0.0,558200.0,,,354.0,,,,,0,,,558200.0,,,,,,,A,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,79737.0,,,,,I,,,19142.0,RM1,,39.92413870952705,-75.22076037479161
2022-05-24,,SR   ,6,56.0,,,100.0,0.0,77800.0,,,50.0,,,,,0,,,77800.0,,,,,,7491.0,E,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,5000.0,,,,,I,,,19153.0,RSA5,,39.8965536241682,-75.24212470588547
2022-05-24,,SR   ,6,54.0,,,228.0,0.0,1212600.0,,,500.0,,,,,0,,,1212600.0,,,,,,9954.0,E,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,113750.0,,,,,I,,,19153.0,,,39.89349965136843,-75.25396992345014
2022-05-24,,JM9  ,4,54.0,,,1385.0,2180000.0,1362500.0,,,2389.0,,,,,0,,,3542500.0,,,,,,,B,B ,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,4020705.0,0.0,,,,I,0.0,,19153.0,SPPOA,P0,39.889107256693904,-75.25638822091199
2022-05-24,,SR   ,6,54.0,,,232.0,0.0,1224200.0,,,495.0,,,,,0,,,1224200.0,,,,,,7637.0,E,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,114840.0,,,,,I,,,19153.0,RSA5,,39.892825874261135,-75.24485787625565
2022-05-24,,SR   ,6,809.0,,,1561.0,0.0,29630000.0,,,2479.0,,,,,0,,,29630000.0,,,,,,4502.0,A,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,2779416.0,,,,,I,,,19153.0,I2,,39.90594106721498,-75.23397898583914
2022-05-24,,SR   ,6,54.0,,,262.0,0.0,1025500.0,,,415.0,,,,,0,,,1025500.0,,,,,,9954.0,B,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,96196.0,,,,,I,,,19153.0,RSA5,,39.89188792812376,-75.25482288648249
2022-05-24,,SI   ,6,351.0,,,167.0,0.0,0.0,,,32.0,,,,,0,,,90600.0,,,,,,3737.0,E,,2058-12-01,2058-12-01,5000.0,,,,0.0,90600.0,F,5374.0,,,,,I,,,19114.0,,,40.0491175732062,-74.99204267177684
2022-05-24,,JE0  ,4,27.0,,,66.0,109919.0,27481.0,,,18.0,,,,A ,0,,,137400.0,,,,,,355.0,E,C+,2058-11-17,2058-11-17,1.0,,,,0.0,0.0,F,1155.0,1380.0,,,,I,1915.0,,19147.0,RSA5,251,39.92852975692739,-75.14866001503752
